temperature ,CO2,Light,Water,Minutes_Slept,Minutes_Awake,current ELO,opponent ELO,user_won
21,1086,1537,3,480,501,2136,2219,0
20,963,1562,1,501,427,2399,2461,0
18,1369,1691,1,418,478,1992,2223,1
19,1006,1715,2,434,457,2447,2288,1
19,911,1332,2,477,508,2449,2394,1
19,748,2000,4,545,321,2312,2098,1
19,1069,1291,3,423,521,2204,2313,1
20,1041,1535,2,473,320,1944,2393,0
20,920,1396,2,504,532,2184,2309,0
19,1584,1478,0,352,470,2732,2126,1
20,991,1267,4,455,435,2365,2234,0
21,888,1695,4,472,469,2330,2209,1
22,1189,1387,3,497,439,2121,2137,1
18,1356,1571,2,427,435,1929,2452,1
21,1245,1400,5,481,298,2079,2037,0
19,1253,1844,1,509,419,2359,2199,1
19,1525,1207,0,466,435,2409,2224,0
20,744,1700,3,404,424,1980,2175,0
19,766,1375,4,409,533,2277,2042,1
18,1368,1416,4,465,411,2057,2111,1
18,1363,1378,3,474,492,2332,1877,0
20,1107,1840,2,392,415,2007,2425,0
18,1255,1505,1,466,404,2136,1925,1
19,1912,1777,2,471,527,2581,2425,1
21,1067,1459,4,388,438,2594,2404,1
20,1037,1621,3,469,474,2241,2302,1
20,881,1173,2,408,395,2682,2103,1
20,1268,1442,4,524,457,2500,2510,1
20,1285,1691,0,361,433,2115,2402,1
20,1656,1496,0,453,420,2069,2145,1
18,928,1557,0,410,525,2159,2508,0
19,1634,1232,2,378,466,2201,2035,0
21,1419,1817,2,443,404,2044,2169,1
18,952,1566,1,432,433,2418,2285,0
20,1179,1629,3,505,436,2352,2195,1
19,1663,1175,3,310,396,2429,2204,1
21,1150,1728,1,435,519,2146,2274,0
19,1210,1572,1,457,567,1989,2086,0
22,1147,1502,1,380,450,2118,2160,0
21,1001,1544,2,482,478,2368,2242,0
20,1519,1569,2,395,459,1967,2272,1
19,1096,1423,1,304,542,2294,2377,0
20,1555,1521,5,450,361,2252,2290,1
20,1362,1812,2,431,383,2492,2084,0
19,475,1495,3,359,414,1971,1939,0
19,1141,1687,0,463,396,2325,2045,0
20,1403,1626,1,539,427,2015,2110,0
20,1296,1372,2,521,478,2517,2521,1
20,1490,1603,1,396,479,2197,2120,0
19,1485,1722,1,342,437,2461,2422,0
18,1538,1362,1,482,422,2108,2277,1
20,1463,1331,3,395,469,2253,2397,0
19,1096,1594,1,455,595,2322,2566,1
20,1246,1653,2,392,477,2247,2287,1
18,855,1554,0,385,401,2116,1908,0
18,1685,1283,3,439,416,2235,2275,0
19,1153,1376,0,480,403,1948,2081,0
19,966,1218,1,433,432,2037,2201,0
20,1140,1510,1,483,466,2275,1895,0
18,949,1454,1,466,400,2611,2053,1
18,846,1771,6,453,458,2042,2396,0
21,1196,1542,2,490,350,2147,1914,0
19,1130,1690,0,404,437,2596,1983,1
18,997,1795,0,525,480,2078,1843,1
18,1472,1404,1,561,507,2180,2043,0
18,1352,1458,3,559,460,2454,2175,0
20,1245,1086,1,470,363,2095,2349,1
19,1500,1485,3,412,563,2080,2411,1
18,1036,1551,2,568,520,2171,1955,0
19,1543,1333,1,443,385,2542,2092,0
21,1131,1421,4,552,408,2004,2440,0
20,845,1516,1,486,404,2244,2219,0
18,938,1625,0,479,349,2069,2305,1
20,1092,1655,5,439,440,2330,2405,1
20,1397,1875,2,410,469,2562,2227,0
22,1313,1586,2,434,415,2056,2209,1
18,1075,1686,3,431,397,2799,1951,0
21,1741,1640,4,351,408,2271,2046,0
20,1257,1341,1,300,422,2539,2457,0
19,781,1563,3,389,487,2372,2139,1
18,1222,1162,2,346,472,2159,1915,0
19,1249,1363,2,446,432,1999,2453,1
18,1028,1464,3,546,415,2513,2213,1
21,946,1335,1,348,479,2094,1910,1
22,1230,1571,1,469,447,2143,2165,0
21,1096,1482,3,390,492,1842,2320,1
19,1177,1614,4,500,391,2152,2423,0
18,1213,1829,3,388,439,2132,2296,0
20,1460,1911,0,594,424,2364,1890,0
20,1059,1386,0,368,415,2453,2302,1
19,1277,1549,0,466,402,2070,2544,0
18,1128,1588,4,388,394,2290,2104,1
18,1309,1260,3,416,500,2446,1867,0
20,1284,1858,2,385,408,2151,2145,0
21,912,1468,2,390,398,2344,2205,0
21,1559,1533,1,386,432,2211,2306,1
21,1321,1556,3,556,422,2315,2414,0
21,1246,1591,1,523,473,2191,2119,1
20,1302,1887,1,540,495,2065,2304,1
18,775,1326,3,446,461,2186,2374,0
